Magnitude,Phase (rad)
0.999999999999999,0
0.999891140708092,-3.11723922216662
1.00001879938188,0.0487068628463536
0.999900481181915,-3.06853235932026
0.998472968511986,0.0974137256927071
0.942513857035192,-3.01982549647391
0.681408442553927,0.14612058853906
0.281760105059033,-2.97111863362756
0.0448973800486069,0.194827451385406
0.000819693997102954,-2.92241177078183
9.29582562788887E-06,-2.89805833932892
1.55290133070125E-05,0.267887745684639
1.24700084236397E-05,0.292241177050422
9.19499904344097E-06,0.316594608427274
7.00369682118335E-06,0.340948039900229
5.54959375275967E-06,0.365301471244578
4.54217081463288E-06,0.389654902930996
3.81110276541356E-06,0.414008334146541
3.25887089259882E-06,0.438361765613588
2.82783730016164E-06,0.462715196610145
2.48241444883795E-06,0.487068628841323
2.19964628707995E-06,0.511422058792733
1.96411814561201E-06,0.535775492277183
1.76510511467234E-06,0.56012892096269
1.59491123120189E-06,0.584482355550375
1.44786486689226E-06,0.608835784071135
1.31968920207621E-06,0.633189218195057
1.20709464193147E-06,0.657542647946151
1.10750715539532E-06,0.681896081639708
1.01888224497804E-06,0.706249511027573
9.39574623756349E-07,0.730602943690155
8.68244818487307E-07,0.754956373073973
8.03791074021433E-07,0.779309808946338
7.45298781610288E-07,0.803663237406013
6.92002344665278E-07,0.828016666924644
6.43256066298661E-07,0.852370100729354
5.98511598594349E-07,0.876723533216211
5.57300314528021E-07,0.90107696334551
5.19219333869289E-07,0.92543039444753
4.83920443535451E-07,0.949783829094097
4.5110106868021E-07,0.974137249076069
4.20497073108378E-07,0.998490692672347
3.91876750742684E-07,1.02284411952634
3.65035992316261E-07,1.04719754536046
3.39794182261024E-07,1.07155098911056
3.15990867078779E-07,1.09590440016708
2.93482884765807E-07,1.12025784541296
2.72142015316534E-07,1.144611278735
2.5185293204474E-07,1.16896471136124
2.32511497311554E-07,1.19331814739214
2.14023280855805E-07,1.21767156211309
1.96302302703232E-07,1.24202499414626
1.7926992024031E-07,1.26637843412676
1.62853896035004E-07,1.29073185440574
1.46987545952391E-07,1.31508532574859
1.31609029250909E-07,1.33943872165988
1.16660682331656E-07,1.36379217536972
1.02088454147471E-07,1.38814558340142
8.78413840642766E-08,1.41249898633042
7.38711368476377E-08,1.4368524906924
6.01315854099283E-08,1.46120571934508
4.65784061776637E-08,1.48555932465624
3.3168719815898E-08,1.50991264186338
1.98607583430072E-08,1.5342662325539
6.61352264983521E-09,1.55861884423639
6.61352257309229E-09,-1.55861886828597
1.98607588995342E-08,-1.53426599945103
3.31687194689205E-08,-1.5099128040219
4.65784047753634E-08,-1.4855592024211
6.01315865003946E-08,-1.46120596900026
7.38711375300417E-08,-1.43685235235169
8.78413835719685E-08,-1.41249899976934
1.02088453023423E-07,-1.38814557321584
1.16660682692091E-07,-1.3637921581972
1.31609032185821E-07,-1.33943871821263
1.46987547163115E-07,-1.31508526949332
1.62853893200625E-07,-1.29073188636263
1.79269922467879E-07,-1.26637842871821
1.96302304554284E-07,-1.24202499833272
2.14023283014598E-07,-1.21767156468746
2.3251149192611E-07,-1.19331813774754
2.51852938623082E-07,-1.16896470518886
2.72142011883508E-07,-1.14461128458523
2.9348288933768E-07,-1.12025782792368
3.15990866293073E-07,-1.09590441355513
3.39794179743241E-07,-1.07155098599536
3.65035988898832E-07,-1.04719756268254
3.91876751995419E-07,-1.02284412254149
4.20497068868007E-07,-0.998490690741975
4.511010735126E-07,-0.974137271594581
4.8392043470284E-07,-0.949783819637925
5.19219339123437E-07,-0.925430410812175
5.57300301861502E-07,-0.90107696689313
5.98511600714732E-07,-0.876723534275584
6.43256066726157E-07,-0.85237009304057
6.92002345652843E-07,-0.828016665062503
7.4529878189913E-07,-0.803663233235401
8.03791071746581E-07,-0.779309810705931
8.68244817153608E-07,-0.754956373734367
9.39574616187038E-07,-0.730602939268528
1.01888225125701E-06,-0.706249517049112
1.1075071543645E-06,-0.681896074881589
1.20709464823508E-06,-0.657542647069016
1.31968920357251E-06,-0.633189209633281
1.44786486985333E-06,-0.608835791052243
1.59491122097396E-06,-0.584482354359677
1.76510511274768E-06,-0.560128923734543
1.96411814641673E-06,-0.535775486977405
2.1996462870654E-06,-0.511422064825434
2.4824144525784E-06,-0.487068626272535
2.82783729451241E-06,-0.462715199956125
3.25887089100435E-06,-0.438361764738879
3.81110275454777E-06,-0.414008335019338
4.54217082558951E-06,-0.389654903290314
5.54959373415387E-06,-0.365301472669075
7.00369683051386E-06,-0.340948039573642
9.19499904311849E-06,-0.316594608260232
1.24700084322414E-05,-0.292241177143306
1.55290133013375E-05,-0.267887745430803
9.29582562404706E-06,2.89805834004926
0.000819693997107791,2.92241177077262
0.0448973800486118,-0.194827451385476
0.281760105059034,2.97111863362755
0.681408442553927,-0.146120588539048
0.942513857035192,3.01982549647393
0.99847296851199,-0.0974137256926631
0.999900481181918,3.06853235932025
1.00001879938188,-0.048706862846355
0.999891140708094,3.11723922216663
